ts,setup,bounded_probe,probe_depth,reclaim,shape,no_lower_acceptance,aggression_failure,buyer_response,participation,spread_ok,delta_pct_rank,l1_bid_support,qualified,day,no_higher_acceptance,seller_response,l1_ask_support,signal_id,stage,passed
1710596400000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710596400000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710596700000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710596700000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710597000000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710597000000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710597300000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710597300000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,True,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710597600000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710597600000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710597900000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,True,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710597900000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710598200000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710598200000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710598500000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710598500000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710598800000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710598800000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710599100000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710599100000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710599400000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710599400000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710599700000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710599700000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710600000000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710600000000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710600300000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710600300000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710600600000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710600600000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710600900000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,True,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710600900000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710601200000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710601200000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710601500000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710601500000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710601800000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710601800000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710602100000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710602100000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710602400000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710602400000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710602700000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710602700000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710603000000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
