exp,day,legs,pnl,wins
C1,2024-03-23,1,-192.45020257808753,0
C1,2024-03-24,0,0.0,0
C1,2024-03-25,0,0.0,0
C1,2024-03-26,0,0.0,0
C1,2024-03-27,1,-178.6218735901843,0
C1,2024-03-28,4,3081.765067459487,3
D1,2024-03-11,0,0.0,0
D1,2024-03-12,1,185.35637934519312,1
D1,2024-03-13,0,0.0,0
D1,2024-03-14,1,-473.084534623331,0
D1,2024-03-15,1,795.5867248410563,1
D1,2024-03-16,1,-72.44209995802582,0
D1,2024-03-17,0,0.0,0
D1,2024-03-18,0,0.0,0
D1,2024-03-19,0,0.0,0
D1,2024-03-20,0,0.0,0
D1,2024-03-21,0,0.0,0
D1,2024-03-22,1,-249.28119165469457,0
D1,2024-03-23,0,0.0,0
D1,2024-03-24,0,0.0,0
D1,2024-03-25,0,0.0,0
D1,2024-03-26,0,0.0,0
D1,2024-03-27,1,-178.6218735901843,0
D1,2024-03-28,3,3482.07168161871,3
D2,2024-03-11,0,0.0,0
D2,2024-03-12,1,185.35637934519312,1
D2,2024-03-13,0,0.0,0
D2,2024-03-14,1,-473.084534623331,0
D2,2024-03-15,1,795.5867248410563,1
D2,2024-03-16,1,-72.44209995802582,0
D2,2024-03-17,0,0.0,0
D2,2024-03-18,0,0.0,0
D2,2024-03-19,0,0.0,0
D2,2024-03-20,0,0.0,0
D2,2024-03-21,0,0.0,0
D2,2024-03-22,1,-249.28119165469457,0
D2,2024-03-23,0,0.0,0
D2,2024-03-24,0,0.0,0
D2,2024-03-25,0,0.0,0
D2,2024-03-26,0,0.0,0
D2,2024-03-27,1,-178.6218735901843,0
D2,2024-03-28,3,3482.07168161871,3
D3,2024-03-11,0,0.0,0
D3,2024-03-12,1,185.35637934519312,1
D3,2024-03-13,0,0.0,0
D3,2024-03-14,1,-473.084534623331,0
D3,2024-03-15,1,795.5867248410563,1
D3,2024-03-16,1,-72.44209995802582,0
D3,2024-03-17,0,0.0,0
D3,2024-03-18,0,0.0,0
D3,2024-03-19,0,0.0,0
D3,2024-03-20,0,0.0,0
D3,2024-03-21,0,0.0,0
D3,2024-03-22,1,-249.28119165469457,0
D3,2024-03-23,0,0.0,0
D3,2024-03-24,0,0.0,0
D3,2024-03-25,0,0.0,0
D3,2024-03-26,0,0.0,0
D3,2024-03-27,1,-178.6218735901843,0
D3,2024-03-28,3,3482.07168161871,3
D4,2024-03-11,0,0.0,0
D4,2024-03-12,1,185.35637934519312,1
D4,2024-03-13,0,0.0,0
D4,2024-03-14,1,-473.084534623331,0
D4,2024-03-15,1,795.5867248410563,1
D4,2024-03-16,1,-72.44209995802582,0
D4,2024-03-17,0,0.0,0
D4,2024-03-18,0,0.0,0
D4,2024-03-19,0,0.0,0
D4,2024-03-20,0,0.0,0
D4,2024-03-21,0,0.0,0
D4,2024-03-22,1,-249.28119165469457,0
D4,2024-03-23,0,0.0,0
