ts,setup,bounded_probe,probe_depth,reclaim,shape,no_lower_acceptance,aggression_failure,buyer_response,participation,spread_ok,delta_pct_rank,l1_bid_support,qualified,day,no_higher_acceptance,seller_response,l1_ask_support
1711271700000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,False,True,True,0.3,False,False,2024-03-24,,,
1711271700000,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,True,True,0.3,,False,2024-03-24,True,True,False
1711272000000,VAL_REJECTION_LONG,False,0.0,True,True,True,False,False,True,True,0.4166666666666667,False,False,2024-03-24,,,
1711272000000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,True,True,0.4166666666666667,,False,2024-03-24,True,True,False
1711272300000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,0.9833333333333333,False,False,2024-03-24,,,
1711272300000,VAH_REJECTION_SHORT,False,0.0,True,True,,True,,False,True,0.9833333333333333,,False,2024-03-24,True,False,False
1711272600000,VAL_REJECTION_LONG,False,0.0,True,True,True,False,True,False,True,0.6833333333333333,False,False,2024-03-24,,,
1711272600000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.6833333333333333,,False,2024-03-24,True,False,False
1711272900000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,0.4,False,False,2024-03-24,,,
1711272900000,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,False,True,0.4,,False,2024-03-24,True,False,False
1711273200000,VAL_REJECTION_LONG,False,0.0,True,False,True,True,False,False,True,0.26666666666666666,False,False,2024-03-24,,,
1711273200000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.26666666666666666,,False,2024-03-24,True,True,False
1711273500000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,False,False,True,0.5666666666666667,False,False,2024-03-24,,,
1711273500000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.5666666666666667,,False,2024-03-24,True,True,False
1711273800000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,False,False,True,0.6,False,False,2024-03-24,,,
